nutrient_id,nutrient_name,unit
fiber,食物繊維,g/d
vitamin_a,ビタミンA,µgRAE/d
vitamin_d,ビタミンD,µg/d
vitamin_e,ビタミンE,mg/d
vitamin_k,ビタミンK,µg/d
vitamin_b1,ビタミンB1,mg/d
vitamin_b2,ビタミンB2,mg/d
niacin,ナイアシン,mgNE/d
niacin_amide,ニコチンアミド,mg/d
niacin_acid,ニコチン酸,mg/d
vitamin_b6,ビタミンB6,mg/d
vitamin_b12,ビタミンB12,µg/d
folate,葉酸,µg/d
folic_acid,葉酸(プテロイルモノグルタミン酸),µg/d
pantothenic_acid,パントテン酸,mg/d
biotin,ビオチン,µg/d
vitamin_c,ビタミンC,mg/d
sodium,ナトリウム,mg/d
salt_equivalent,食塩相当量,g/d
potassium,カリウム,mg/d
calcium,カルシウム,mg/d
magnesium,マグネシウム,mg/d
phosphorus,リン,mg/d
iron,鉄,mg/d
zinc,亜鉛,mg/d
copper,銅,mg/d
manganese,マンガン,mg/d
iodine,ヨウ素,µg/d
selenium,セレン,µg/d
chromium,クロム,µg/d
molybdenum,モリブデン,µg/d